name,location,cuisines,rate,approx_cost(for two people)
Keventers,Banashankari,"Desserts, Beverages, Ice Cream",3.7/5,400
Sree Sagar,Banashankari,South Indian,,200
Navi Food Point,Basavanagudi,Fast Food,3.6/5,200
Shawarma Inc,Banashankari,"Rolls, Lebanese",3.1/5,250
The Cafe Nuts and Bolts,Kumaraswamy Layout,"Cafe, Fast Food, Chinese",3.0/5,500
AM WOW,Jayanagar,Beverages,3.4/5,100
Lalbagh Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.0/5,250
Funjabi Curries,Banashankari,North Indian,2.9/5,500
Eat Repeat,Basavanagudi,South Indian,3.9/5,150
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",4.1/5,"1,200"
Nammura Donne Biriyani,Basavanagudi,"Biryani, Fast Food",3.5/5,400
Lassi Stop,Banashankari,"Beverages, Fast Food, Juices",3.4/5,150
Dakshin Kitchen,Basavanagudi,South Indian,3.6/5,100
Sri Sai Cafe,Basavanagudi,South Indian,3.5/5,200
Sri Sai 99 Variety Dosa,Banashankari,South Indian,3.8/5,300
Utsav Restaurant,Banashankari,"North Indian, Chinese",3.8/5,300
Crunch and Munch,Uttarahalli,"Chinese, Street Food, Ice Cream",3.7/5,300
Food Geek,Basavanagudi,"Sandwich, Fast Food, Rolls",3.8/5,350
Sri Krishna Aramane,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Fast Food",3.7/5,200
Great Indian Rolls,Basavanagudi,Rolls,3.3/5,100
Chats Point,Basavanagudi,"Fast Food, Street Food",3.4/5,150
Food Point,Kumaraswamy Layout,"North Indian, Chinese",3.5/5,300
Swarga Ruchi,Basavanagudi,South Indian,3.3/5,200
Kolkata King,Basavanagudi,"Fast Food, Rolls",3.4/5,300
Sandwich Mama's And Frozen Monster,Jayanagar,"Ice Cream, Beverages, Fast Food",3.8/5,250
New Rajadhani Spicy,Kumaraswamy Layout,North Indian,3.7/5,700
Big Mishra Pedha,Jayanagar,Mithai,2.9/5,250
VEGeatz,Banashankari,"South Indian, North Indian",3.4/5,200
Foodizo,Banashankari,"Desserts, Fast Food, Continental",3.6/5,300
Food Springs,Jayanagar,"South Indian, Chinese",4.0/5,400
Chung's Chinese Corner,Jayanagar,Chinese,3.9/5,700
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,"Italian, Fast Food, Salad, BBQ",4.1/5,"1,200"
Goli Vada Pav No. 1,Basavanagudi,Street Food,3.7/5,200
Ragoo's,Jayanagar,"Italian, Pizza, North Indian, Salad",3.9/5,800
Pure & Natural,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",3.9/5,500
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices",4.0/5,200
Sip n Dine,Vijay Nagar,"North Indian, Chinese, South Indian",3.6/5,800
Cafe Mondo,Basavanagudi,"Cafe, Italian, Beverages",3.7/5,600
Jalpaan,Jayanagar,"North Indian, Continental",4.0/5,900
Kataria's Pakwan,Kumaraswamy Layout,North Indian,3.2/5,400
Juicy Momos,Banashankari,"Tibetan, Momos",3.5/5,250
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",4.0/5,300
Anand Sweets and Savouries,Jayanagar,"Mithai, Street Food",3.9/5,400
Chicken Hunt,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.5/5,350
Swadesh Tadka,Banashankari,"North Indian, Chinese, Beverages",3.5/5,600
Cane-O-La,Basavanagudi,Juices,3.8/5,100
New Biryani Mane,Uttarahalli,"North Indian, Chinese, Biryani, South Indian",3.7/5,450
Upahara Darshini,Jayanagar,"South Indian, North Indian, Chinese",3.8/5,400
Karnataka Bhel House,Basavanagudi,Street Food,4.1/5,100
Sreeraj Lassi Bar,Jayanagar,Beverages,4.1/5,150
Juice Junction Food Court,Basavanagudi,"Juices, South Indian, Chinese, Fast Food",3.7/5,200
Bunt's Biriyani Palace,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",3.0/5,400
Chai Point,Jayanagar,"Tea, Beverages, Fast Food",3.2/5,250
Janahaar,Banashankari,South Indian,3.8/5,100
Redberrys,Basavanagudi,"Cafe, Italian",4.0/5,600
Utsav,Banashankari,"North Indian, Street Food",3.7/5,200
Meat And Eat,Banashankari,"Fast Food, Burger",3.1/5,500
Snacks Bite,Kumaraswamy Layout,"Fast Food, Momos",3.0/5,400
The Spice Saga,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",3.7/5,750
Dakshin Cafe,Kumaraswamy Layout,South Indian,3.7/5,100
Mr. Parathewala,Jayanagar,North Indian,,300
Kaulige Millet Corner,Basavanagudi,"Healthy Food, South Indian",3.3/5,150
Ifruit Ice Cream,Kumaraswamy Layout,"Desserts, Ice Cream",3.3/5,150
Havmor,Basavanagudi,"Ice Cream, Desserts",3.8/5,200
Grand Food,Banashankari,"South Indian, Bakery, Chinese",3.4/5,250
Dining Hut,Kumaraswamy Layout,"North Indian, Chinese, South Indian",3.5/5,400
7 Hills Garden Restaurant,Banashankari,"North Indian, Mughlai, Chinese",,400
Desi Swaad,Kumaraswamy Layout,North Indian,3.5/5,400
Yummy Momos,Kumaraswamy Layout,"Momos, Tibetan, Chinese",3.2/5,200
Masale Daan,Banashankari,North Indian,3.1/5,350
Sri Manjunatha Tandoori Corner,Uttarahalli,Mughlai,,300
Grow Fit,JP Nagar,"Healthy Food, North Indian, Thai",3.6/5,500
The House Of Vadapav,Banashankari,,,150
Cutcakes,Kumaraswamy Layout,Bakery,,300
Lassi Spot,Kumaraswamy Layout,,3.3/5,100
Sandwich Hub,Jayanagar,"Fast Food, Sandwich",3.4/5,300
Healthy Bakes 'n' Brew,Jayanagar,Bakery,,150
Udupi Sri Krishna Cafe,Jayanagar,"North Indian, South Indian",3.9/5,600
Starlite Bakery & Fastfood,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",3.7/5,300
Veganbreak24x7,City Market,"South Indian, Chinese, Continental, Biryani",2.8/5,199
Aadhya Hotel,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",3.3/5,800
Dodda Mane Baaduta,Banashankari,"North Indian, South Indian, Chinese, Biryani",3.5/5,250
Swadd Kitchen,Basavanagudi,"North Indian, Fast Food",3.4/5,500
Nandini Milk Parlour and Restaurant,Mysore Road,"Sandwich, Rolls, South Indian, Ice Cream",,250
Happy Chopsticks,Basavanagudi,"Chinese, Fast Food",3.6/5,300
Sai Super Sandwich,Banashankari,"Sandwich, Beverages",NEW,200
Right Pizza,Basavanagudi,Pizza,NEW,300
Udupi Upachar,Banashankari,"South Indian, North Indian",3.3/5,500
Davanagere Benne Dose Hut,Banashankari,South Indian,3.4/5,100
The Sip Shop,Basavanagudi,"Pizza, Beverages, Ice Cream",NEW,200
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1/5,800
Subz,Jayanagar,"North Indian, South Indian",4.2/5,"1,000"
Rajastani Rasoi,Basavanagudi,North Indian,,100
Sri Banashankari Upahara,Kumaraswamy Layout,"North Indian, South Indian",NEW,150
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2/5,600
Mint and Mustard,Basavanagudi,"North Indian, Chinese",4.0/5,750
Chinese Square,Basavanagudi,Chinese,3.9/5,200
Hyderabad Express,Banashankari,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",NEW,300
Punjabi Raswada,Jayanagar,North Indian,3.5/5,800
Vinny's,Banashankari,"Pizza, Italian, Continental, Desserts",4.2/5,800
Chetty's Corner,Uttarahalli,"Fast Food, Burger, Pizza",3.4/5,200
Kapoor's Cafe,Jayanagar,North Indian,4.2/5,800
Donne Biryani & Kabab Corner,Kumaraswamy Layout,"Chinese, Biryani",3.3/5,200
Sukh Sagar,Jayanagar,"South Indian, North Indian, Chinese, Street Food",3.8/5,450
S M V Snacks Corner,Basavanagudi,Fast Food,3.7/5,200
Andhra Ruchulu,Jayanagar,"Andhra, Biryani, North Indian, Chinese",4.1/5,"1,000"
The Samosa Co,Jayanagar,"Fast Food, Mithai",,200
Steaming Mugs,Basavanagudi,Cafe,3.9/5,700
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8/5,800
Rajathadri Food Fort,Jayanagar,"South Indian, North Indian, Chinese, Street Food",4.0/5,600
Brew Meister,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",4.1/5,"1,500"
Rasoi,Banashankari,"North Indian, Chinese",3.3/5,300
Mr. Singh Da Dhaba,Kumaraswamy Layout,"North Indian, Chinese",3.6/5,300
Kababs N Biryani,Banashankari,South Indian,3.4/5,200
Ayodhya Upachar,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.3/5,200
Biriyani Mane,Jayanagar,"North Indian, Biryani",3.8/5,400
Cafe Ajfan,Jayanagar,"Cafe, Continental, Beverages",4.2/5,700
Brundhavana Food Point,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Street Food, Beverages",4.0/5,300
SLV Corner Restaurant,Basavanagudi,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",4.1/5,550
Biryani Royals Garden,Kumaraswamy Layout,"North Indian, Biryani, Mughlai",NEW,500
Hotel New Karavali,Banashankari,"Mangalorean, South Indian, North Indian",3.8/5,300
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9/5,750
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",3.1/5,400
Roti Ghar,Basavanagudi,"North Indian, Chinese, South Indian",3.9/5,500
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",4.2/5,500
Multi Snacky Hub,Basavanagudi,Fast Food,NEW,200
Kettle & Kegs,Banashankari,"Tea, Beverages",3.2/5,200
Baisakhi,Basavanagudi,North Indian,3.8/5,500
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",4.3/5,400
Poonam Sweets,Banashankari,Mithai,4.4/5,150
XO Belgian Waffle,Banashankari,"Desserts, Beverages",3.7/5,400
Old Mumbai Ice Cream,Banashankari,Ice Cream,3.9/5,150
Cake of the Day,Banashankari,Bakery,3.7/5,150
Amma's Pastries,Banashankari,Bakery,3.8/5,400
Kanti Sweets,Banashankari,"Mithai, Street Food",4.0/5,400
Sugar Rush,Banashankari,"Bakery, Desserts",3.8/5,300
Polar Bear,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",3.9/5,400
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8/5,800
Anand Sweets and Savouries,Banashankari,"Mithai, Street Food",3.7/5,400
Ibaco,Banashankari,Desserts,3.9/5,300
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8/5,700
The Lassi and Juice Park,Banashankari,"Juices, Desserts",3.8/5,150
Stoned Monkey,Banashankari,"Desserts, Ice Cream",4.3/5,500
Parimala Sweets,Banashankari,"Mithai, Street Food",3.5/5,200
The Big O Bakes,Banashankari,"Bakery, Desserts",4.0/5,300
Shree Mahalakshmi Sweets,Banashankari,"Mithai, Street Food",3.2/5,100
Keventers,Banashankari,"Desserts, Beverages, Ice Cream",3.7/5,400
Dessert Rose,Banashankari,Desserts,3.5/5,500
Thanco's Natural Ice Creams,Banashankari,Ice Cream,3.2/5,300
Corner Stone,Banashankari,"Beverages, Juices, Desserts, Italian",3.6/5,300
Kaggis,Banashankari,"Fast Food, Bakery",3.8/5,250
Cocoa Bakes,Banashankari,"Bakery, Desserts",3.6/5,350
Floured-Baked With Love,Banashankari,Bakery,3.8/5,400
CAFE NOVA,Banashankari,"Cafe, Bakery",3.2/5,600
Cakes & Slices,Banashankari,"Bakery, Desserts",3.5/5,300
Arun Ice Cream,Banashankari,"Ice Cream, Desserts",3.4/5,150
Just Bake,Banashankari,"Bakery, Desserts",3.4/5,400
Dharwad Line Bazaar Mishra Pedha,Banashankari,Mithai,,150
Cake Bite,Banashankari,Bakery,,300
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",2.9/5,200
Melting Melodies,Banashankari,Bakery,NEW,300
Sweet N Swirl,Banashankari,"Desserts, Ice Cream",3.2/5,150
Me And My Cake,Banashankari,"Bakery, Desserts",,500
Mukesh Sweet Centre,Banashankari,Mithai,,300
Darkolates,Banashankari,Desserts,,200
Sai Super Sandwich,Banashankari,"Sandwich, Beverages",NEW,200
Sweet Truth,Banashankari,"Bakery, Desserts",3.9/5,500
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",3.9/5,400
Gopi Ice Creams,Banashankari,Ice Cream,NEW,100
Sri Venkateshwara Sweet Meat Stall,Basavanagudi,"Mithai, Street Food, North Indian, Chinese",4.0/5,400
Baskin Robbins,Basavanagudi,"Ice Cream, Desserts",3.7/5,250
Redberrys,Basavanagudi,"Cafe, Italian",4.0/5,600
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",4.0/5,300
Srinivasa Brahmins Bakery,Basavanagudi,"Bakery, Street Food",3.6/5,150
Jain Bakes,Basavanagudi,"Bakery, Desserts",3.6/5,250
Cake Ghar,Basavanagudi,Bakery,3.8/5,400
KC Das - Sweet Spot,Basavanagudi,"Mithai, Street Food",3.6/5,200
Sugar Stars Co,Basavanagudi,"Bakery, Desserts",,300
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",3.3/5,300
Cake Yard,Basavanagudi,Desserts,3.3/5,250
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",4.0/5,250
A2B Veg - Adyar Ananda Bhavan,Basavanagudi,"South Indian, North Indian, Chinese, Street Food",2.7/5,400
Bombay Kulfis,JP Nagar,Ice Cream,,200
Sri Krishna Sweets,Basavanagudi,"Mithai, Desserts",3.7/5,250
Cake Art,Basavanagudi,Bakery,3.5/5,400
Cakecraft,Jayanagar,Desserts,,350
Asha Sweets Centre,Basavanagudi,Fast Food,3.6/5,250
My Tea House,Banashankari,"Continental, Asian, North Indian, Tea",NEW,500
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9/5,750
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0/5,"1,200"
Mini Punjabi Dhaba,Banashankari,North Indian,4.2/5,350
Onesta,Banashankari,"Pizza, Cafe, Italian",4.6/5,600
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2/5,800
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1/5,800
Vinny's,Banashankari,"Pizza, Italian, Continental, Desserts",4.2/5,800
Jcubez,Banashankari,Finger Food,3.8/5,"1,300"
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1/5,"1,200"
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",4.0/5,700
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",4.1/5,800
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2/5,550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,4.1/5,500
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2/5,600
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",4.2/5,500
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",4.2/5,800
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",4.0/5,450
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",4.2/5,600
1947,Banashankari,"North Indian, Chinese",4.0/5,850
Caf-Eleven,Banashankari,"Cafe, Continental",4.0/5,450
Thamboola,Banashankari,"North Indian, Chinese, Continental",3.9/5,800
Ferment,Banashankari,Continental,NEW,"1,000"
Havyaka Mess,Banashankari,South Indian,3.9/5,300
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8/5,800
Cafe Vivacity,Banashankari,Cafe,3.8/5,650
Chung Wah,Banashankari,"Chinese, Momos, Thai, Vietnamese",3.9/5,900
Vietnamese Kitchen,Banashankari,Vietnamese,3.6/5,700
Blue Wings Bar & Restaurant,Banashankari,"North Indian, Chinese",3.7/5,700
Anand Sweets and Savouries,Banashankari,"Mithai, Street Food",3.7/5,400
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",3.9/5,800
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8/5,700
T3H Cafe,Banashankari,"Cafe, Italian, American",3.9/5,300
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",3.8/5,300
Dal Tadkaa,Banashankari,North Indian,2.5/5,500
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",3.1/5,400
New Imperial Restaurant,Banashankari,"North Indian, Chinese",3.7/5,450
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",3.0/5,400
Green Gardenia,Banashankari,"North Indian, Chinese",3.8/5,700
Parimala Sweets,Banashankari,"Mithai, Street Food",3.5/5,200
Vaishali Deluxe,Banashankari,"North Indian, Chinese",3.8/5,700
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",3.1/5,700
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",3.6/5,600
My Tea House,Banashankari,"Continental, Asian, North Indian, Tea",NEW,500
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",3.3/5,800
Annapooraneshwari Mess,Banashankari,South Indian,,200
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",3.6/5,600
7 Hills Restaurant,Banashankari,"North Indian, South Indian",,500
Nandhini Deluxe,Banashankari,North Indian,2.6/5,600
Corner Stone,Banashankari,"Beverages, Juices, Desserts, Italian",3.6/5,300
Karavali Fish Center,Banashankari,"Mangalorean, Chinese",3.4/5,300
Ayda Persian Kitchen,Banashankari,"North Indian, Iranian",3.7/5,950
J Spice,Banashankari,"North Indian, Chinese",3.8/5,750
Swadesh Tadka,Banashankari,"North Indian, Chinese, Beverages",3.5/5,600
Iyer's Tiffin Centre,Banashankari,"South Indian, Chinese",3.8/5,150
Kydz Adda,Banashankari,Continental,3.4/5,500
K27 - The Pub,Banashankari,"Chinese, North Indian",3.1/5,"1,000"
Kotian Karavali Restaurant,Banashankari,"South Indian, Biryani",3.5/5,300
Food Box Cafe,Banashankari,"Mughlai, North Indian, Chinese",3.6/5,500
Hide Out Cafe,Banashankari,Cafe,3.7/5,300
Linnet Bar & Restaurant,Banashankari,"Fast Food, Finger Food",,500
CAFE NOVA,Banashankari,"Cafe, Bakery",3.2/5,600
Darbar,Banashankari,"North Indian, Chinese",3.0/5,800
Sri Ganesh Juice and Chats,Banashankari,"Juices, Street Food",3.5/5,150
Manifest Cafe,Banashankari,"South Indian, North Indian, Chinese",3.5/5,500
Beijing Bites,Banashankari,"Chinese, Thai",2.7/5,850
Karavali Lunch Home,Banashankari,"South Indian, North Indian, Seafood, Mangalorean",,400
The Pizzeria,Banashankari,"Pizza, Italian, Salad",2.8/5,800
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",3.2/5,400
Lassi Stop,Banashankari,"Beverages, Fast Food, Juices",3.4/5,150
Banashankari Nati Style,Banashankari,"Biryani, Chinese, South Indian, North Indian",,350
Sea Green Cafe,Banashankari,"Cafe, Fast Food, Beverages",3.3/5,500
Cafe Coffee Day,Banashankari,"Cafe, Fast Food",,900
SLN Bar and Restaurant,Banashankari,"North Indian, Chinese",,700
Kaumudis Juoice,Banashankari,"Beverages, Fast Food, Juices",,150
Parijatha Paradise,Banashankari,"South Indian, North Indian, Fast Food, Chinese, Street Food",NEW,500
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",3.5/5,400
Pizza Hut,Banashankari,"Pizza, Fast Food",3.7/5,750
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",3.9/5,650
Taaza Thindi,Banashankari,South Indian,4.7/5,100
Hyderabad Express,Banashankari,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",NEW,300
Ayodhya Upachar,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.3/5,200
Petoo,Banashankari,North Indian,3.7/5,450
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",4.0/5,450
KFC,Banashankari,"Burger, Fast Food",3.8/5,450
Five Star Chicken,Banashankari,"Fast Food, Burger",3.6/5,200
Gama Gama,Banashankari,South Indian,3.9/5,200
Hotel New Karavali,Banashankari,"Mangalorean, South Indian, North Indian",3.8/5,300
Kaapi Corner,Banashankari,South Indian,NEW,100
McDonald's,Banashankari,"Burger, Fast Food",3.9/5,500
Sri Laxmi Venkateshwara Coffee Bar,Banashankari,South Indian,4.4/5,100
Bhattara Bhojana,Banashankari,South Indian,3.6/5,150
Davanagere Benne Dose Hut,Banashankari,South Indian,3.4/5,100
Utsav Restaurant,Banashankari,"North Indian, Chinese",3.8/5,300
Messy Bowl,Banashankari,"Fast Food, Beverages",3.8/5,500
Devanna Dum Biriyani Centre,Banashankari,"Biryani, South Indian",3.6/5,300
Janahaar,Banashankari,South Indian,3.8/5,100
Stop 'N' Joy,Banashankari,Fast Food,3.8/5,150
Dodda Mane Baaduta,Banashankari,"North Indian, South Indian, Chinese, Biryani",3.5/5,250
Chickpet Donne Biryani House,Banashankari,Biryani,3.8/5,250
Brahmin Cafe,Banashankari,South Indian,3.8/5,150
Chumma Delicious,Banashankari,"South Indian, Fast Food",3.7/5,200
Udupi Upachar,Banashankari,"South Indian, North Indian",3.3/5,500
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.1/5,300
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",2.8/5,500
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",4.1/5,300
Spicy Tandoor,Banashankari,North Indian,NEW,150
Banashankari Donne Biriyani,Banashankari,"Biryani, Fast Food",3.8/5,300
Addhuri Udupi Bhojana,Banashankari,"South Indian, North Indian",3.7/5,300
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",3.6/5,150
Subway,Banashankari,"Salad, Fast Food",3.7/5,600
SGS Non Veg - Gundu Pulav,Banashankari,"Biryani, Fast Food",3.8/5,400
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.2/5,200
Hotel Mangala,Banashankari,South Indian,3.9/5,250
Simple Thindies,Banashankari,South Indian,3.5/5,200
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",3.4/5,300
Chilli Flakes,Banashankari,"Fast Food, Italian, Beverages",3.6/5,500
Kababs N Biryani,Banashankari,South Indian,3.4/5,200
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.9/5,200
SLV Swadishta,Banashankari,South Indian,3.8/5,300
Kolbeh,Banashankari,Fast Food,3.7/5,500
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",3.6/5,250
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",3.7/5,400
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",3.8/5,350
Domino's Pizza,Banashankari,"Pizza, Fast Food",3.9/5,800
New Sagar Fast Food,Banashankari,"North Indian, South Indian",3.6/5,250
Namma Biryani,Banashankari,"Biryani, Chinese, North Indian",3.6/5,250
Chill Out,Banashankari,"South Indian, Chinese",,100
Parama Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.5/5,300
Thrilok Restaurant,Banashankari,"Mangalorean, Seafood",3.4/5,350
Meat And Eat,Banashankari,"Fast Food, Burger",3.5/5,500
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",3.8/5,250
Dakshin Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.0/5,300
Chicken Hunt,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.5/5,350
7 Hills Garden Restaurant,Banashankari,"North Indian, Mughlai, Chinese",,400
Maruthi Davangere Benne Dosa,Banashankari,South Indian,4.0/5,150
